commit_hash,author,timestamp,message,file_path,lines_added,lines_removed
80446feef1f1cdf57ac07bf2f0a77ce9cd651b27,ircalder-live,2026-01-18 22:20:36+13:00,docs(sprint-02): add final retrospective and close-out materials.,sprints/sprint-02/retrospective.md,275,0
80446feef1f1cdf57ac07bf2f0a77ce9cd651b27,ircalder-live,2026-01-18 22:20:36+13:00,docs(sprint-02): add final retrospective and close-out materials.,sprints/sprint-03/initiation.md,233,0
32f3309cc2483c119a356e2a2e450d9b606206bc,ircalder-live,2026-01-18 14:00:57+13:00,feat(domains): add initial AI-assisted academic integrity artifact,domains/digital-ethics/notes/ai-assisted-academic-integrity.md,98,0
1764928e8840b665d46b31566ca736fcd88719ce,ircalder-live,2026-01-18 13:09:45+13:00,feat(domains): add initial AIML and Digital Ethics domain scaffolds,domains/aiml/README.md,2,0
1764928e8840b665d46b31566ca736fcd88719ce,ircalder-live,2026-01-18 13:09:45+13:00,feat(domains): add initial AIML and Digital Ethics domain scaffolds,domains/digital-ethics/README.md,2,0
14d798f3446413787f3ff5e99838089ef806a5a5,ircalder-live,2026-01-16 15:14:45+13:00,"feat(exp-001): Add completed analysis artifact validating workflow, reproducibility, and glossary outputs.",lab/experiments/exp-001-analysis.md,120,0
f138c0c938a4b4c8de89b32531a7d9fd3185f50e,ircalder-live,2026-01-16 14:38:19+13:00,feat(exp-001): Complete execution log with Run 1 & Run 2 outputs and evaluation notes,lab/experiments/exp-001-log.md,289,10
72715c03fbaaf4b8e3fcca7db86bb7bbe48f0a8c,ircalder-live,2026-01-16 13:37:15+13:00,feat(experiments): add execution log scaffold for EXP-001,lab/experiments/exp-001-log.md,42,0
1c4b3210fcc87cc83b80e93356c968542869776c,ircalder-live,2026-01-16 13:21:42+13:00,Add lab/experiments/exp-001-design.md as the first lab experiment,lab/experiments/exp-001-design.md,220,0
0e99f81fd1d629825d3de2aebcb1a0da40f16f1e,ircalder-live,2026-01-14 23:12:22+13:00,fix(structure): consolidate sprint-02 directory under /sprints,{sprint-02 => sprints/sprint-02}/metrics.md,0,0
624716da7a925c9337f1f6c065275e6f49c3e434,ircalder-live,2026-01-14 23:02:36+13:00,feat(sprint-02): initialize sprint metrics,sprint-02/metrics.md,24,0
e47e90021e3fd332ff49ea5a2ee77a8fb62d74ef,ircalder-live,2026-01-14 21:59:26+13:00,feat(lab): add research workflow template,lab/research-workflow-template.md,37,0
919aaff329f05ff558f1f087d836be732bdcddfe,ircalder-live,2026-01-13 10:42:06+13:00,feat(lab): add experiment log template,lab/experiment-log-template.md,31,0
a505725e43cc4db8742486fe21ab470c37ab6a96,ircalder-live,2026-01-13 10:15:28+13:00,"refactor(frameworks): replace operational-cadence.md with operating-model.md, add sprints/sprint-02/initiation.md",frameworks/operating-model.md,142,0
a505725e43cc4db8742486fe21ab470c37ab6a96,ircalder-live,2026-01-13 10:15:28+13:00,"refactor(frameworks): replace operational-cadence.md with operating-model.md, add sprints/sprint-02/initiation.md",frameworks/operational-cadence.md,0,13
a505725e43cc4db8742486fe21ab470c37ab6a96,ircalder-live,2026-01-13 10:15:28+13:00,"refactor(frameworks): replace operational-cadence.md with operating-model.md, add sprints/sprint-02/initiation.md",sprints/sprint-02/initiation.md,89,0
ba17834d9729a9cb8cc299adc3742b0ad986fecf,ircalder-live,2026-01-13 10:08:56+13:00,feat(lab): create /lab/ directory and initial README,lab/README.md,3,0
ff33198eb2973d4d549862dafafb01f0e2d72f85,ircalder-live,2026-01-11 23:54:57+13:00,Add Sprint 01 Retrospective,sprints/sprint-01/retrospective.md,124,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/ab-testing.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/activation-function.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/adaptive-machine-learning-adaptive-ml.yaml,13,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/adaptive-random-forest-arf.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/artificial-neural-network.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/backpropagation.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/bayesian-optimization.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/bias-variance-trade-off.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/bloat.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/bootstrap-aggregating-bagging.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/classification.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/clustering.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/computational-complexity.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/concept-drift.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/confusion-matrix.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/continual-learning.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/convolutional-neural-network.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/cross-validation.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/crossover.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/data-cleaning.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/decision-tree.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/dimensionality-reduction.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/distribution-hypothesis.yaml,11,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/early-stopping.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/encoding-categorical-variables.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/ensemble-learning.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/ensembles.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/explainable-ai-xai.yaml,13,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/expression-tree.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/f1-score.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/feature-extraction.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/feature-scaling.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/fitness-function.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/generalization.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/genetic-programming.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/grid-search.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/hyperparameter-tuning.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/isolation-methods.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/k-nearest-neighbors-k-nn.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/las-vegas-algorithm.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/lexicase-selection.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/model-deployment.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/model-serving.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/monitoring.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/monte-carlo-algorithm.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/monte-carlo-tree-search-mcts.yaml,13,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/mutation.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/naive-bayes.yaml,8,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/overfitting.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/parsimony-pressure.yaml,12,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/precision.yaml,10,0
950982c0856441d2f5f04ce59b4d61457ddad098,ircalder-live,2026-01-09 22:46:07+13:00,"Burst 28: Integrated AIML domain (73 terms). Added bilingual localization files, domain lookup index, and ingestion scripts. Completed Gates 1–4 validation (Burst 28).",i18n/en/aiml/pseudocode.yaml,11,0
